Username,Rank,CurrConSolved,time_taken,total_fail,ContestCnt,Total_solved,CurrRating,rating_jump,Reputation,active_days,rule_score,lof_normalized,final_score,suspicious,rating_bucket,triggered_rules
hfgdnnvnxfg,4,4,551,0,1,28,2047,0,0,0,17.0,0.9557963030470029,17.955796303047002,True,A (2000-2200),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating | Zero rating jump high rating | Ghost profile high rank
himank028,6,4,491,0,3,13,2188,128,0,14,14.0,1.2910803809447584,15.29108038094476,True,A (2000-2200),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating | Ghost profile high rank
SArJZB8AUf,109,4,1610,0,1,4,1868,0,0,0,15.0,0.20749020152702888,15.20749020152703,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Zero rating jump high rating | Ghost profile high rank
yashpatel2104,188,4,2344,0,1,33,1836,0,0,0,15.0,0.13625226482167224,15.136252264821673,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Zero rating jump high rating | Ghost profile high rank
nshthshh_lc_,13,4,887,0,4,34,2664,888,0,14,14.0,1.0595242326399212,15.059524232639921,True,S (2200+),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating | Ghost profile high rank
alphacode45,41,4,1094,0,1,11,1925,-1,0,0,14.0,0.43869398941991555,14.438693989419916,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating | Ghost profile high rank
Maddy__1607,14,4,700,0,4,17,2441,513,0,14,14.0,0.3771983600007026,14.377198360000703,True,S (2200+),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating | Ghost profile high rank
belfon,96,4,1477,0,3,12,2026,150,0,14,14.0,0.18562353602037643,14.185623536020376,True,A (2000-2200),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating | Ghost profile high rank
logical_dp,42,4,1585,0,1,47,2118,194,0,0,14.0,0.16690984689353394,14.166909846893533,True,A (2000-2200),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating | Ghost profile high rank
Ankanlearn2003,24,4,1192,0,1,23,2552,596,0,0,14.0,0.07076702271679158,14.070767022716792,True,S (2200+),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating | Ghost profile high rank
XnuYY8YoP3,17,4,1010,0,1,4,2866,890,0,0,14.0,0.045052298837711335,14.045052298837712,True,S (2200+),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating | Ghost profile high rank
Zicyi0e9IA,137,4,1969,0,1,127,1855,0,0,0,13.0,0.19352065973296972,13.19352065973297,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Zero rating jump high rating
user8376lk,6,4,631,1,2,34,2188,226,0,7,12.0,1.032953363668083,13.032953363668083,True,A (2000-2200),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating | Ghost profile high rank
Joey_Tribbianii,8,4,692,0,2,10,1899,-115,0,7,12.0,0.8657466395395693,12.86574663953957,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Ghost profile high rank
tuan2812a123456789,91,4,2343,1,3,45,1936,119,0,8,12.0,0.4591941467661662,12.459194146766166,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating | Ghost profile high rank
PushmeetK,9,4,805,1,5,22,3109,1231,0,21,12.0,0.40247278996692915,12.402472789966929,True,S (2200+),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating | Ghost profile high rank
Dhaya001,114,4,1654,0,1,48,1865,-1,0,0,12.0,0.3976166914581222,12.397616691458122,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Ghost profile high rank
LeviAckerman7,48,4,1198,0,2,8,1814,-103,0,7,12.0,0.36967323595020307,12.369673235950202,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Ghost profile high rank
