Rank,Username,Score,CurrConSolved,time_taken,total_fail,Country,Profile_rank,PostViewCnt,Reputation,Total_solved,Easy,Medium,Hard,ContestCnt,CurrRating,rating_first,GlobalRank,active_days,contest_id
7650,ProD24,12,3,5235,0,India,1004901,0,0,154,88,57,9,7,1708,1548,107060,280,1
5011,vanshika1594,12,3,3369,0,India,355596,0,0,349,103,202,44,2,1542,1615,285075,7,1
5652,yourstherapist01,12,3,3736,0,India,825125,1,0,187,90,78,19,6,1742,1606,88716,21,1
3635,Vikram_Dhatarwal,12,3,2606,0,India,303236,0,0,385,166,197,22,16,1546,1414,278800,315,1
8096,74OVxXCwcT,12,3,5651,1,,5000001,0,0,4,2,2,0,1,1573,1574,234402,0,1
7089,cyzh,12,3,4754,1,中国,187216,0,0,499,13,242,244,1,1808,1808,62664,0,1
2898,sujitha05,12,3,2150,0,,507198,0,0,275,128,119,28,7,1512,1459,347553,161,1
1746,Beingankur0073,12,3,1030,0,India,11566,1207,109,1294,392,716,186,93,2094,1510,12820,938,1
7158,Swasthi_N,12,3,4811,2,,686205,0,0,218,69,115,34,16,1499,1415,379051,203,1
1843,dharmatejasamudrala,12,3,1205,0,United States,58011,1476,6,802,348,399,55,41,1902,1415,36094,1834,1
4148,mayank_soni91,12,3,2904,2,India,78166,585,9,722,166,423,133,50,1916,1536,33223,644,1
5473,srivarshiniii,12,3,3636,4,,425315,0,0,315,110,179,26,4,1760,1546,80673,56,1
7974,7ykeYO9m11,12,3,5526,4,,344561,20,0,356,97,205,54,5,1608,1522,189874,203,1
5673,Vijayanand_au,12,3,3750,2,,19468,105,0,1125,448,604,73,84,1653,1437,146507,2688,1
6447,parth8910,12,3,4245,1,India,1453929,0,0,103,33,58,12,10,1745,1538,87395,84,1
8456,Damin_Ace,12,3,6363,7,India,218485,1,0,464,127,260,77,20,1655,1478,144994,434,1
5640,noojeff,12,3,3728,1,,526397,367,1,267,80,169,18,55,2077,1461,13924,1960,1
7552,gowri_1729,12,3,5146,2,,417256,0,0,315,142,134,39,34,1555,1461,262134,274,1
8941,josephsam5934,8,2,3529,0,India,372780,918,6,339,248,85,6,36,1443,1625,563131,288,1
1178,kjcoder293,18,4,5398,3,,301620,0,12,386,92,229,65,37,2157,1568,9362,568,1
287,Dhakshin_K,18,4,2622,2,India,466683,0,0,293,91,154,48,3,1899,1857,36702,42,1
243,wild-penguin,18,4,2413,0,,109127,0,6,635,155,379,101,5,1954,1630,26619,36,1
9454,nikhilchanda_nc,7,2,582,0,India,290324,0,0,395,88,262,45,21,1594,1413,206282,406,1
9481,Varshith_Kancharla,7,2,595,0,,2551079,0,0,47,23,23,1,13,1622,1475,175111,92,1
8807,HarshalMakode,8,2,2280,0,India,221546,13,2,458,205,214,39,11,1618,1533,179818,364,1
8130,Annimesh,12,3,5685,2,India,204694,9,0,478,151,246,81,4,1498,1415,383453,190,1
1660,klu2300031389,12,3,776,0,,924068,1,0,167,92,64,11,11,1611,1456,186890,230,1
6219,Tornado025,12,3,4096,4,,1113945,0,0,145,59,83,3,1,1597,1597,203714,0,1
3997,mayankrathore1608,12,3,2823,1,,242827,0,0,436,157,229,50,7,1760,1580,80296,42,1
8564,manjunathhegde,12,3,6849,5,India,287259,188,0,401,160,231,10,24,1567,1495,243988,1884,1
3701,TechPB05,12,3,2646,0,India,148990,0,0,555,128,315,112,11,1978,1524,23463,204,1
6855,LeetcoderGao,12,3,4559,1,United States,11092,20,5,1308,328,795,185,61,2068,1562,14528,832,1
8108,Atharv_kokate3,12,3,5667,1,,269488,0,0,412,142,235,35,14,1509,1518,353178,413,1
7232,GADDAMHRISHIKREDDY,12,3,4886,0,,839738,505,5,183,95,84,4,19,1616,1496,181329,518,1
9256,Prem_Selvan29,7,2,408,0,,4646699,0,0,15,6,9,0,6,1682,1660,124225,70,1
9954,i_mm_u,7,2,837,0,India,234976,0,0,445,223,177,45,38,1591,1493,210961,189,1
1712,Duck_You,12,3,937,0,,3495366,0,0,27,5,20,2,9,1802,1641,64538,126,1
5326,iFcT2Cn2OU,12,3,3544,4,,5000001,0,3,12,1,10,1,4,1700,1619,112315,288,1
3612,user2784FH,12,3,2593,0,,3768790,0,0,23,16,7,0,12,1547,1451,275931,413,1
7170,X81joYKoCh,12,3,4825,2,,5000001,0,0,3,1,2,0,1,1584,1585,219330,0,1
9918,charansai_82,7,2,820,0,,405508,186,1,321,138,172,11,24,1682,1505,124315,336,1
3533,bugHackerLoop,12,3,2547,0,India,80842,24,8,713,222,386,105,29,1820,1486,58941,1036,1
2488,yadnyeshab01,12,3,1865,0,India,44100,44,0,879,373,437,69,24,1798,1440,65892,764,1
4086,DHIYANESH21,12,3,2870,0,India,70672,96,2,749,349,376,24,40,1731,1412,94648,581,1
8860,ishwarkumawat156,8,2,2810,1,India,170277,0,0,525,134,317,74,24,1590,1446,211245,246,1
8844,divyasure,8,2,2675,0,,2620776,0,0,48,28,20,0,30,1556,1483,261987,260,1
4779,Srinivas_0512,12,3,3244,2,India,624888,0,0,235,90,134,11,17,1707,1524,107938,98,1
1556,Noob63,13,3,4298,2,India,754894,0,0,202,112,80,10,2,1623,1702,174323,6,1
6192,AlwaysAAA18,12,3,4074,3,,824758,0,0,186,57,124,5,1,1597,1597,203294,0,1
5874,aamirbinafzal1618,12,3,3871,0,,460985,698,97,294,106,157,31,14,1412,1439,703182,1394,1
4678,Charanbandi07,12,3,3193,1,India,1507938,0,0,99,57,39,3,31,1462,1413,492344,554,1
1750,s1mply,12,3,1035,0,,4425253,4,0,16,11,5,0,1,1693,1693,116968,0,1
9372,sowmi_29,7,2,523,0,,621444,0,0,236,166,62,8,22,1534,1414,300900,189,1
8569,yogesh_kharb_lc,12,3,6871,7,,146121,64,0,563,241,282,40,13,1659,1583,141859,63,1
4674,ankitverma969,12,3,3191,2,India,1580700,2,0,93,40,41,12,4,1721,1549,99694,56,1
4977,higgsboson1710,12,3,3344,0,,283076,0,0,401,109,256,36,25,1801,1594,64889,238,1
5945,aparajitsuyash,12,3,3918,0,,69723,0,0,753,209,476,68,13,1553,1450,265800,1128,1
579,guoyuhang0921,18,4,3681,0,,5000001,0,0,8,3,4,1,2,1728,1544,95860,1100,1
2909,Rawincode026,12,3,2159,0,,570154,0,0,252,136,111,5,18,1830,1441,56129,748,1
5018,SHIVA_SONI28,12,3,3371,1,India,116393,9,2,618,233,323,62,24,1654,1478,145664,294,1
9928,asmitamhetre2003,7,2,825,0,,2672043,0,0,46,18,27,1,13,1619,1487,177981,496,1
6739,Krris_hna,12,3,4461,1,India,446937,0,0,301,142,145,14,15,1458,1429,505732,175,1
6344,raof01,12,3,4179,2,Canada,43824,3105,26,880,277,488,115,30,1702,1478,111303,1470,1
5406,dadylock,12,3,3592,3,,88753,0,0,688,234,366,88,10,1717,1414,101867,582,1
9828,sahithimadhavaram,7,2,773,0,,850306,0,0,184,91,86,7,12,1545,1695,279768,84,1
7237,Sujal1023,12,3,4891,6,India,1026492,0,0,151,71,72,8,3,1530,1478,308248,8,1
7239,Vinuthnad_0812,12,3,4893,2,India,114686,0,0,622,285,316,21,12,1558,1522,257344,238,1
563,Indefinite,18,4,3623,2,India,17404,6654,242,1160,416,597,147,45,2010,1476,19753,553,1
3545,TheKnightOfCode,12,3,2557,0,India,39978,0,0,908,289,495,124,16,2075,1510,14051,448,1
6916,Sujit12345678,12,3,4604,0,India,139893,0,0,571,234,290,47,11,1662,1567,139177,49,1
6926,_KhushbooAgrawal,12,3,4609,2,India,943885,0,0,164,57,80,27,8,1527,1415,313987,112,1
3005,prasoonsoni,12,3,2222,1,India,150495,1227,0,552,302,233,17,14,1898,1501,37125,64,1
6126,Tushar_Kapoor,12,3,4035,2,,820384,0,0,190,108,67,15,8,1599,1498,201017,36,1
6087,Anvesh9652,12,3,4011,2,India,19304,5402,39,1128,319,637,172,53,1719,1435,100962,1708,1
1673,siddu_2486,12,3,825,0,,5000001,0,0,10,5,4,1,5,1710,1462,106381,22,1
8886,sk_31_08_2004,8,2,3064,1,India,31325,184,27,982,369,533,80,29,1668,1459,134434,456,1
7931,snigdho386,12,3,5480,1,India,20129,1180,29,1115,305,653,157,88,1716,1481,102599,1680,1
609,Shubham578,18,4,3773,1,India,30100,0,0,992,268,552,172,18,1860,1479,47240,651,1
7824,Sathya9642,12,3,5380,0,,607358,0,0,240,113,114,13,66,1586,1411,217613,708,1
3794,naman7262,12,3,2706,0,India,220590,0,3,459,124,274,61,21,1856,1454,48355,224,1
8459,Vasudev_gupta73,12,3,6370,7,,117856,0,0,618,186,379,53,20,1692,1624,117474,414,1
